type,price,quantity,date,commission,return,cumulative_return
buy,3299.25,1,2020-09-22,0.45,-0.01620649334255264,0.3313375979705089
sell,3231.25,1,2020-09-23,0.45,-0.013358778625954248,0.3135525537228112
buy,3238.0,1,2020-09-24,0.45,-0.018564825339092206,0.28916667998922874
sell,3532.75,1,2020-10-12,0.45,0.09330754352030945,0.40945565608725665
buy,3422.75,1,2020-10-19,0.45,0.05705682520074129,0.48987472108482333
sell,3383.0,1,2020-10-27,0.45,-0.04238907366782252,0.42672031177693226
buy,3263.5,1,2020-10-28,0.45,-0.046526915491929,0.36033941640026823
sell,3302.25,1,2020-10-29,0.45,-0.023869346733668362,0.3278690031947342
buy,3264.75,1,2020-10-30,0.45,0.00038302436034931553,0.3283776093703106
sell,3300.5,1,2020-11-02,0.45,-0.0005299417064122958,0.32767364667324106
buy,3554.25,1,2020-11-20,0.45,0.08867447737192746,0.4454044134124717
sell,3748.75,1,2020-12-31,0.45,0.13581275564308437,0.6417087698166954
buy,3692.25,1,2021-01-04,0.45,0.03882675669972557,0.705450996794174
sell,3908.0,1,2021-02-08,0.45,0.04248082694231403,0.7778999654475842
buy,3903.0,1,2021-02-19,0.45,0.057079016859638454,0.8793807475501174
sell,3828.0,1,2021-02-25,0.45,-0.020470829068577223,0.8409082655122442
buy,3809.25,1,2021-02-26,0.45,-0.02401998462720989,0.7966896772745364
sell,3765.5,1,2021-03-04,0.45,-0.016327063740856795,0.7673550103911357
buy,3839.0,1,2021-03-05,0.45,0.007809936339174373,0.7811579405110114
sell,4067.75,1,2021-04-05,0.45,0.08026822467135841,0.9241283262551232
buy,4126.5,1,2021-04-20,0.45,0.07488929408700185,1.068224938341174
sell,4342.75,1,2021-07-02,0.45,0.06760494130661909,1.208047163906615
buy,4318.5,1,2021-07-16,0.45,0.046528535078153466,1.3107843638266612
sell,4251.25,1,2021-07-19,0.45,-0.021069598756548236,1.2620970644679277
buy,4315.5,1,2021-07-20,0.45,-0.0006946856547411784,1.2605256180876099
sell,4558.0,1,2021-10-25,0.45,0.07215524845633636,1.4236344057026349
buy,4642.0,1,2021-11-10,0.45,0.07565751361371809,1.6070005587467575
sell,4508.5,1,2021-12-01,0.45,-0.010860026327336514,1.578688464043387
buy,4575.75,1,2021-12-02,0.45,-0.014271865575183118,1.5418857689242844
sell,4537.5,1,2021-12-03,0.45,0.006432294554729934,1.5582359269144814
buy,4590.0,1,2021-12-06,0.45,0.003114243566628483,1.566202896691793
sell,4474.75,1,2022-01-20,0.45,-0.013829201101928423,1.5307143607650908
buy,4390.0,1,2022-01-21,0.45,-0.04357298474945537,1.4204435825182458
sell,4403.75,1,2022-01-24,0.45,-0.01586680820157549,1.3820388684316947
buy,4349.0,1,2022-01-25,0.45,-0.00933940774487474,1.359792036175271
sell,4341.5,1,2022-01-26,0.45,-0.014135679818336633,1.3264347715140365
buy,4317.75,1,2022-01-27,0.45,-0.007185559898827298,1.3097180351126076
sell,4374.5,1,2022-02-17,0.45,0.007601059541633148,1.3272743394218827
buy,4343.5,1,2022-02-18,0.45,0.0059637542701638235,1.3411536317014527
sell,4300.0,1,2022-02-22,0.45,-0.017030517773459874,1.301282573166361
buy,4222.0,1,2022-02-23,0.45,-0.02797283296880393,1.2369091801331593
sell,4284.0,1,2022-02-24,0.45,-0.0037209302325581506,1.228585797137315
buy,4303.75,1,2022-03-01,0.45,0.019362861203221282,1.2717375946067553
sell,4198.5,1,2022-03-07,0.45,-0.01995798319327735,1.2263982938740572
buy,4168.75,1,2022-03-08,0.45,-0.031367993029334906,1.1565606477112929
sell,4201.5,1,2022-03-11,0.45,0.0007145409074669207,1.158101598513516
buy,4172.0,1,2022-03-14,0.45,0.0007796101949024692,1.1597840765213525
sell,4505.0,1,2022-03-22,0.45,0.07223610615256448,1.3157984683395676
buy,4520.25,1,2022-04-05,0.45,0.08347315436241609,1.5091054713595229
sell,4409.0,1,2022-04-11,0.45,-0.02130965593784684,1.4556372970530824
buy,4393.0,1,2022-04-12,0.45,-0.02815109783750902,1.386508411250305
sell,4387.5,1,2022-04-14,0.45,-0.004876389203901099,1.374870867398665
buy,4386.75,1,2022-04-18,0.45,-0.0014227179603915063,1.3714920959620063
sell,4267.25,1,2022-04-22,0.45,-0.027407407407407436,1.306495645924529
buy,4292.75,1,2022-04-25,0.45,-0.02142816435857986,1.2570716781313092
sell,4170.5,1,2022-04-26,0.45,-0.022672681469330325,1.2058978109195913
buy,4180.25,1,2022-04-27,0.45,-0.02620697687962259,1.1480878979900115
sell,4127.5,1,2022-04-29,0.45,-0.010310514326819287,1.1259400069425185
buy,4151.0,1,2022-05-02,0.45,-0.0069971891633275884,1.1110644025640557
sell,4169.25,1,2022-05-03,0.45,0.010115081768625078,1.1324179916148247
buy,4143.25,1,2022-05-05,0.45,-0.0018670199951819066,1.1284367245863942
sell,4119.5,1,2022-05-06,0.45,-0.01193260178689215,1.1030389367233076
buy,3987.5,1,2022-05-09,0.45,-0.037591262897483824,1.0239830471692968
sell,3996.75,1,2022-05-10,0.45,-0.029797305498240112,0.9636738059895342
buy,3930.25,1,2022-05-11,0.45,-0.01435736677115984,0.9354806209380231
sell,3927.25,1,2022-05-12,0.45,-0.01738912866704201,0.9018242993879655
